Domain,Objective,Sub Section,Sub Section Objective,Program,Score,Statement
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Succession Planning,"To assess the organization__ ability to continue smooth operations and to manage programs in the event of an absence of, or shift in, leadership.",NMCP,4,"The organization
_	Is reliant but not dependent on the CEO/ED
_	Has a clear, documented succession plan
_	Has the potential for a smooth transition to a new leader; fundraising and program quality would not be major problems
_	Would handle transition by having a senior management team fill in or one or more members of the management team would take on the CEO/ED role"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Succession Planning,"To assess the organization__ ability to continue smooth operations and to manage programs in the event of an absence of, or shift in, leadership.",NACP,3,"The organization
_	Has limited dependence on CEO/ED; s/he does not have sole control of, for example, finances and planning
_	Would continue in a similar way without the CEO/ED, but fundraising and/or program quality would suffer significantly
_	Has a documented plan for how it would continue should the CEO/ED leave, but no member of management could take on the CEO/ED role"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						","Operational Policies, Procedures and Systems",To assess the availability of and adherence to operational policies.,RSSH,4,"The organization has
_	Complete and appropriate operational policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						","Operational Policies, Procedures and Systems",To assess the availability of and adherence to operational policies.,NTLP,4,"The organization has
_	Complete and appropriate operational policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						","Operational Policies, Procedures and Systems",To assess the availability of and adherence to operational policies.,NMCP,4,"The organization has
_	Complete and appropriate operational policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						","Operational Policies, Procedures and Systems",To assess the availability of and adherence to operational policies.,NACP,4,"The organization has
_	Complete and appropriate operational policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Travel Policies and Procedures,"To assess the availability of and adherence to travel policies and procedures, especially compliance with donor rules and regulations.",RSSH,3,"The organization has
_	Documented most or all travel policies and procedures, and they comply with donor requirements
_	Policies and procedures that are generally known and understood by staff but not consistently adhered to"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Travel Policies and Procedures,"To assess the availability of and adherence to travel policies and procedures, especially compliance with donor rules and regulations.",NTLP,4,"The organization has
_	Complete and appropriate travel policies and procedures that comply with donor requirements
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Travel Policies and Procedures,"To assess the availability of and adherence to travel policies and procedures, especially compliance with donor rules and regulations.",NMCP,4,"The organization has
_	Complete and appropriate travel policies and procedures that comply with donor requirements
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Travel Policies and Procedures,"To assess the availability of and adherence to travel policies and procedures, especially compliance with donor rules and regulations.",NACP,4,"The organization has
_	Complete and appropriate travel policies and procedures that comply with donor requirements
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Procurement,To assess the availability of and adherence to procurement policies and procedures,RSSH,4,"The organization has
_	Complete and appropriate procurement policies and procedures that incorporate donor-specific policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A documented procurement plan that is annually revised/updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Procurement,To assess the availability of and adherence to procurement policies and procedures,NTLP,4,"The organization has
_	Complete and appropriate procurement policies and procedures that incorporate donor-specific policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A documented procurement plan that is annually revised/updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Procurement,To assess the availability of and adherence to procurement policies and procedures,NMCP,4,"The organization has
_	Complete and appropriate procurement policies and procedures that incorporate donor-specific policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A documented procurement plan that is annually revised/updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Procurement,To assess the availability of and adherence to procurement policies and procedures,NACP,4,"The organization has
_	Complete and appropriate procurement policies and procedures that incorporate donor-specific policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A documented procurement plan that is annually revised/updated"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Fixed Asset Control,To assess the availability of and adherence to policies and systems for managing fixed assets,RSSH,4,"The organization has
_	Complete and appropriate fixed-asset policies and procedures that incorporate donor policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A fixed-asset register that is regularly updated and confirmed through a physical inventory at least every two years"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Fixed Asset Control,To assess the availability of and adherence to policies and systems for managing fixed assets,NTLP,4,"The organization has
_	Complete and appropriate fixed-asset policies and procedures that incorporate donor policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A fixed-asset register that is regularly updated and confirmed through a physical inventory at least every two years"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Fixed Asset Control,To assess the availability of and adherence to policies and systems for managing fixed assets,NMCP,4,"The organization has
_	Complete and appropriate fixed-asset policies and procedures that incorporate donor policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A fixed-asset register that is regularly updated and confirmed through a physical inventory at least every two years"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Fixed Asset Control,To assess the availability of and adherence to policies and systems for managing fixed assets,NACP,4,"The organization has
_	Complete and appropriate fixed-asset policies and procedures that incorporate donor policies as required
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated
_	A fixed-asset register that is regularly updated and confirmed through a physical inventory at least every two years"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Information Systems,To assess the functionality of the organization__ information systems and its documentation of information system policies and procedures.,RSSH,3,"The organization has
_	Documented most or all information system policies and procedures
_	An information system that adequately supports operations and programs at  a good level of functionality without major inputs
_	A staff member (or outside provider) designated to manage the information system"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Information Systems,To assess the functionality of the organization__ information systems and its documentation of information system policies and procedures.,NTLP,3,"The organization has
_	Documented most or all information system policies and procedures
_	An information system that adequately supports operations and programs at  a good level of functionality without major inputs
_	A staff member (or outside provider) designated to manage the information system"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Information Systems,To assess the functionality of the organization__ information systems and its documentation of information system policies and procedures.,NMCP,4,"The organization has
_	Complete and appropriate information system policies and procedures
_	An information system that effectively and efficiently supports operations and programs at a high level of functionality and maintenance
_	A staff member (or outside provider) designated to manage the information system"
Administration,"To assess the organization__ capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.						",Information Systems,To assess the functionality of the organization__ information systems and its documentation of information system policies and procedures.,NACP,3,"The organization has
_	Documented most or all information system policies and procedures
_	An information system that adequately supports operations and programs at  a good level of functionality without major inputs
_	A staff member (or outside provider) designated to manage the information system"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Job Descriptions,"To review the systems for developing, disseminating, following and updating job descriptions (JDs) to ensure that staff roles and responsibilities are clearly defined and understood and that they are relevant to the needs of the organization.",RSSH,4,"The organization has
_	JDs for each staff member that cover all sections
_	Staff, volunteers and interns with copies of or access to their JDs
_	JDs that are respected/adhered to, reviewed and updated"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Job Descriptions,"To review the systems for developing, disseminating, following and updating job descriptions (JDs) to ensure that staff roles and responsibilities are clearly defined and understood and that they are relevant to the needs of the organization.",NTLP,3,"The organization has
_	Clear JDs for each staff member that include all sections
_	Staff, volunteers and interns with copies or access to copies of their JDs
_	JDs that are not respected/adhered to, reviewed or regularly updated"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Job Descriptions,"To review the systems for developing, disseminating, following and updating job descriptions (JDs) to ensure that staff roles and responsibilities are clearly defined and understood and that they are relevant to the needs of the organization.",NMCP,4,"The organization has
_	JDs for each staff member that cover all sections
_	Staff, volunteers and interns with copies of or access to their JDs
_	JDs that are respected/adhered to, reviewed and updated"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Job Descriptions,"To review the systems for developing, disseminating, following and updating job descriptions (JDs) to ensure that staff roles and responsibilities are clearly defined and understood and that they are relevant to the needs of the organization.",NACP,3,"The organization has
_	Clear JDs for each staff member that include all sections
_	Staff, volunteers and interns with copies or access to copies of their JDs
_	JDs that are not respected/adhered to, reviewed or regularly updated"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Recruitment,To assess the organization__ systems for recruiting staff and consultants including confirming and documenting professional and salary history.,RSSH,4,"The organization has
_	Clear, transparent recruitment guidelines that are consistently applied and reviewed
_	A process for verifying, updating and filing employment history
_	Consistently oriented and regularly trained/updated HR staff in applying the guidelines
_	Provided opportunities for career advancement"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Recruitment,To assess the organization__ systems for recruiting staff and consultants including confirming and documenting professional and salary history.,NTLP,4,"The organization has
_	Clear, transparent recruitment guidelines that are consistently applied and reviewed
_	A process for verifying, updating and filing employment history
_	Consistently oriented and regularly trained/updated HR staff in applying the guidelines
_	Provided opportunities for career advancement"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Recruitment,To assess the organization__ systems for recruiting staff and consultants including confirming and documenting professional and salary history.,NMCP,4,"The organization has
_	Clear, transparent recruitment guidelines that are consistently applied and reviewed
_	A process for verifying, updating and filing employment history
_	Consistently oriented and regularly trained/updated HR staff in applying the guidelines
_	Provided opportunities for career advancement"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Recruitment,To assess the organization__ systems for recruiting staff and consultants including confirming and documenting professional and salary history.,NACP,3,"The organization has
_	Clear, transparent recruitment guidelines, but they are neither consistently applied nor regularly reviewed
_	Has a process for verifying employment history but does not file or update the information
_	Not consistently oriented or trained HR staff in applying the guidelines
_	Not provided opportunities for career advancement"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staffing Levels,"To assess the organization__ management of staffing__ositions available, positions filled, vacancies__or the program and for the organization as a whole and the means for ensuring staffing levels are and remain adequate.",RSSH,4,"The organization has
_	A formal staffing plan
_	Documented positions and vacancy data
_	Qualified and skilled staff in all positions
_	Active recruitment to fill gaps
_	A system for rapidly filling new positions where staff turnover is high
_	Minimal turnover and no attendance problems
_	Conducted and documented exit interviews and used the information"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staffing Levels,"To assess the organization__ management of staffing__ositions available, positions filled, vacancies__or the program and for the organization as a whole and the means for ensuring staffing levels are and remain adequate.",NTLP,4,"The organization has
_	A formal staffing plan
_	Documented positions and vacancy data
_	Qualified and skilled staff in all positions
_	Active recruitment to fill gaps
_	A system for rapidly filling new positions where staff turnover is high
_	Minimal turnover and no attendance problems
_	Conducted and documented exit interviews and used the information"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staffing Levels,"To assess the organization__ management of staffing__ositions available, positions filled, vacancies__or the program and for the organization as a whole and the means for ensuring staffing levels are and remain adequate.",NMCP,4,"The organization has
_	A formal staffing plan
_	Documented positions and vacancy data
_	Qualified and skilled staff in all positions
_	Active recruitment to fill gaps
_	A system for rapidly filling new positions where staff turnover is high
_	Minimal turnover and no attendance problems
_	Conducted and documented exit interviews and used the information"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staffing Levels,"To assess the organization__ management of staffing__ositions available, positions filled, vacancies__or the program and for the organization as a whole and the means for ensuring staffing levels are and remain adequate.",NACP,2,"The organization has
_	A formal staffing plan
_	Documented positions and vacancy data
_	Some key positions filled with qualified and skilled staff
_	No system to ensure that positions are filled quickly
_	High turnover rate or staff attendance problems affecting program implementation
_	Not conducted or documented exit interviews"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Personnel Policies,To ensure that personnel policies document and verify staff time and that best practices in managing personnel are adhered to.,RSSH,4,"The organization has
_	Comprehensive and donor compliant personnel policies
_	Policies that are adhered to and correspond to HR practices
_	Disseminated policies to all staff and required and filed signature statements
_	Regularly reviewed and updated policies, manuals and staff time records"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Personnel Policies,To ensure that personnel policies document and verify staff time and that best practices in managing personnel are adhered to.,NTLP,4,"The organization has
_	Comprehensive and donor compliant personnel policies
_	Policies that are adhered to and correspond to HR practices
_	Disseminated policies to all staff and required and filed signature statements
_	Regularly reviewed and updated policies, manuals and staff time records"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Personnel Policies,To ensure that personnel policies document and verify staff time and that best practices in managing personnel are adhered to.,NMCP,4,"The organization has
_	Comprehensive and donor compliant personnel policies
_	Policies that are adhered to and correspond to HR practices
_	Disseminated policies to all staff and required and filed signature statements
_	Regularly reviewed and updated policies, manuals and staff time records"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Personnel Policies,To ensure that personnel policies document and verify staff time and that best practices in managing personnel are adhered to.,NACP,3,"The organization has
_	Comprehensive and donor compliant personnel policies including a drug- free workplace policy, discrimination policies (for US organizations), and timekeeping policy, at a minimum
_	Polices that are adhered to and aligned with HR practices
_	Not disseminated the policies to all staff or required signature statements
_	Not updated personnel policies and manuals or time records"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Salaries and Benefits,To review the organization__ systems for setting and managing salaries and benefits.,RSSH,3,"The organization has
_	A clear rationale/structure for staff salaries such as pay grades and ranges and salary history
_	A process for documenting salary history
_	Consistently applied the rationale to all staff, but does not review or update salaries regularly
_	Benefits that are clearly documented in a policy manual
_	Benefits of which staff are aware, that are equitably applied and conform with national labor requirements"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Salaries and Benefits,To review the organization__ systems for setting and managing salaries and benefits.,NTLP,4,"The organization has
_	A clear rationale/structure for staff salaries such as pay grades and ranges and salary history
_	A process for documenting salary history
_	A rationale for salaries that is consistently applied to all staff, reviewed and updated annually
_	Pay increases that follow the salary framework and/or policy
_	Benefits that are clearly documented in a policy manual, equitably applied and conform to national labor laws
_	Pay increases coordinated with performance reviews"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Salaries and Benefits,To review the organization__ systems for setting and managing salaries and benefits.,NMCP,3,"The organization has
_	A clear rationale/structure for staff salaries such as pay grades and ranges and salary history
_	A process for documenting salary history
_	Consistently applied the rationale to all staff, but does not review or update salaries regularly
_	Benefits that are clearly documented in a policy manual
_	Benefits of which staff are aware, that are equitably applied and conform with national labor requirements"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Salaries and Benefits,To review the organization__ systems for setting and managing salaries and benefits.,NACP,2,"The organization has
_	A clear rationale/structure for staff salaries, such as pay grades and ranges and salary history
_	A process for documenting salary history
_	Not consistently applied the rationale or reviewed or updated it
_	Clearly documented benefits in a policy manual
_	Benefits of which staff are aware, but they are neither equitably applied nor conform to national labor requirements"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Performance Management,To review the organization__ systems for managing staff performance including performance appraisals.,RSSH,4,"The organization has
_	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional  development
_	Regularly conducted appraisals for all staff at least once a year
_	Regularly reviews new staff performance after the probationary period
_	Consistently filed, updated and made changes in staff work status, salary and benefits"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Performance Management,To review the organization__ systems for managing staff performance including performance appraisals.,NTLP,4,"The organization has
_	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional  development
_	Regularly conducted appraisals for all staff at least once a year
_	Regularly reviews new staff performance after the probationary period
_	Consistently filed, updated and made changes in staff work status, salary and benefits"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Performance Management,To review the organization__ systems for managing staff performance including performance appraisals.,NMCP,3,"The organization has
_	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional development
_	A performance review process for new staff that is not timely or consistently done
_	A participatory process regularly used for performance appraisals
_	Conducted appraisals for some, but not all, staff
_	Consistently filed and updated changes in staff work status, salary and benefits"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Staff Performance Management,To review the organization__ systems for managing staff performance including performance appraisals.,NACP,3,"The organization has
_	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional development
_	A performance review process for new staff that is not timely or consistently done
_	A participatory process regularly used for performance appraisals
_	Conducted appraisals for some, but not all, staff
_	Consistently filed and updated changes in staff work status, salary and benefits"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Volunteers and Interns,To review the organization__ systems for managing field and office volunteers and interns.,RSSH,2,"The organization has
_	A basic volunteer/intern policy that includes guidance on selection, supervision and support
_	Job descriptions
_	Orientation and/or training for volunteers that is not consistent
_	No performance standards or regular review of performance
_	Inconsistent or irregular supervision
_	High volunteer turnover that affects program implementation"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Volunteers and Interns,To review the organization__ systems for managing field and office volunteers and interns.,NMCP,1,"The organization has
_	No policy for selecting or managing volunteers/interns
_	No training program for volunteers or interns
_	No job descriptions
_	No performance standards or feedback process
_	No supervisory guidance to support volunteers/interns'"
"Human Resources Management			","To assess the organization__ ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.						",Volunteers and Interns,To review the organization__ systems for managing field and office volunteers and interns.,NACP,2,"The organization has
_	A basic volunteer/intern policy that includes guidance on selection, supervision and support
_	Job descriptions
_	Orientation and/or training for volunteers that is not consistent
_	No performance standards or regular review of performance
_	Inconsistent or irregular supervision
_	High volunteer turnover that affects program implementation"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Systems,"To assess the existence and use of the financial system, especially its ability to respond to management needs and donor requirements.",RSSH,4,"The organization has
_	A complete and appropriate financial system
_	A fully operational, computerized accounting system
_	Systems that are consistently adhered to, reviewed and updated
_	Systems known and understood by trained staff
_	A narrative description of its financial system in its financial manual"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Systems,"To assess the existence and use of the financial system, especially its ability to respond to management needs and donor requirements.",NTLP,4,"The organization has
_	A complete and appropriate financial system
_	A fully operational, computerized accounting system
_	Systems that are consistently adhered to, reviewed and updated
_	Systems known and understood by trained staff
_	A narrative description of its financial system in its financial manual"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Systems,"To assess the existence and use of the financial system, especially its ability to respond to management needs and donor requirements.",NMCP,4,"The organization has
_	A complete and appropriate financial system
_	A fully operational, computerized accounting system
_	Systems that are consistently adhered to, reviewed and updated
_	Systems known and understood by trained staff
_	A narrative description of its financial system in its financial manual"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Systems,"To assess the existence and use of the financial system, especially its ability to respond to management needs and donor requirements.",NACP,4,"The organization has
_	A complete and appropriate financial system
_	A fully operational, computerized accounting system
_	Systems that are consistently adhered to, reviewed and updated
_	Systems known and understood by trained staff
_	A narrative description of its financial system in its financial manual"
