Domain,Objective,Subsection,Subsection Objective,Resources,1,2,3,4
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Recruitment,To assess the organization’s systems for recruiting staff and consultants including confirming and documenting professional and salary history.,"recruitment manual/guidelines or policy, recruitment guidelines, documentation of employment history, personnel manual","The organization has
•	Neither guidelines nor a consistent approach to recruiting staff
•	No system for verifying employment history for staff or consultants","The organization has
•	Basic guidelines for recruitment, but they are not consistently applied or reviewed
•	No process for verifying staff or consultants’ employment history
•	Not oriented or trained HR staff in applying the guidelines
•	Not provided opportunities for career advancement","The organization has
•	Clear, transparent recruitment guidelines, but they are neither consistently applied nor regularly reviewed
•	Has a process for verifying employment history but does not file or update the information
•	Not consistently oriented or trained HR staff in applying the guidelines
•	Not provided opportunities for career advancement","The organization has
•	Clear, transparent recruitment guidelines that are consistently applied and reviewed
•	A process for verifying, updating and filing employment history
•	Consistently oriented and regularly trained/updated HR staff in applying the guidelines
•	Provided opportunities for career advancement"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Staffing Levels,"To assess the organization’s management of staffing—positions available, positions filled, vacancies—for the program and for the organization as a whole and the means for ensuring staffing levels are and remain adequate.","staffing plan and/or organizational diagram, vacancy and turnover data, attendance information, retention policy","The organization has
•	No formal staffing plan
•	Positions/vacancies that are not documented
•	Many key management and technical positions open or filled by staff without the right qualifications or skills
•	No system to ensure that positions are filled quickly
•	High turnover and severe problems with staff attendance affecting program implementation
•	No retention procedures","The organization has
•	A formal staffing plan
•	Documented positions and vacancy data
•	Some key positions filled with qualified and skilled staff
•	No system to ensure that positions are filled quickly
•	High turnover rate or staff attendance problems affecting program implementation
•	Not conducted or documented exit interviews","The organization has
•	A formal staffing plan
•	Documented and available vacancy data
•	Qualified and skilled staff in all key positions (technical, administrative, finance)
•	A system to ensure that positions are filled quickly
•	Moderate turnover or minor attendance problems
•	Conducted and documented exit interviews","The organization has
•	A formal staffing plan
•	Documented positions and vacancy data
•	Qualified and skilled staff in all positions
•	Active recruitment to fill gaps
•	A system for rapidly filling new positions where staff turnover is high
•	Minimal turnover and no attendance problems
•	Conducted and documented exit interviews and used the information"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Personnel Policies,To ensure that personnel policies document and verify staff time and that best practices in managing personnel are adhered to.,"personnel manual, staff time records, work schedule policies, 2–3 personnel files, payment vouchers","The organization has
•	No personnel policy manual","The organization has
•	Basic personnel policies that include either a drug-free workplace policy, nondiscrimination policies (for US organizations), or timekeeping policy
•	Inconsistently applied the polices
•	Not disseminated the policies to all staff and/or required signature statements
•	No process for updating personnel policies, manuals or staff time records","The organization has
•	Comprehensive and donor compliant personnel policies including a drug- free workplace policy, discrimination policies (for US organizations), and timekeeping policy, at a minimum
•	Polices that are adhered to and aligned with HR practices
•	Not disseminated the policies to all staff or required signature statements
•	Not updated personnel policies and manuals or time records","The organization has
•	Comprehensive and donor compliant personnel policies
•	Policies that are adhered to and correspond to HR practices
•	Disseminated policies to all staff and required and filed signature statements
•	Regularly reviewed and updated policies, manuals and staff time records"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Staff Salaries and Benefits,To review the organization’s systems for setting and managing salaries and benefits.,"salary grades and ranges, 2–3 personnel files from different levels","The organization has
•	No clear rationale/structure for staff salaries such as pay grades and ranges or salary history
•	Not clearly documented benefits in a policy manual
•	Salaries and benefits that are not equitably applied and/or do not conform to national labor requirements","The organization has
•	A clear rationale/structure for staff salaries, such as pay grades and ranges and salary history
•	A process for documenting salary history
•	Not consistently applied the rationale or reviewed or updated it
•	Clearly documented benefits in a policy manual
•	Benefits of which staff are aware, but they are neither equitably applied nor conform to national labor requirements","The organization has
•	A clear rationale/structure for staff salaries such as pay grades and ranges and salary history
•	A process for documenting salary history
•	Consistently applied the rationale to all staff, but does not review or update salaries regularly
•	Benefits that are clearly documented in a policy manual
•	Benefits of which staff are aware, that are equitably applied and conform with national labor requirements","The organization has
•	A clear rationale/structure for staff salaries such as pay grades and ranges and salary history
•	A process for documenting salary history
•	A rationale for salaries that is consistently applied to all staff, reviewed and updated annually
•	Pay increases that follow the salary framework and/or policy
•	Benefits that are clearly documented in a policy manual, equitably applied and conform to national labor laws
•	Pay increases coordinated with performance reviews"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Staff Performance Management,To review the organization’s systems for managing staff performance including performance appraisals.,samples of completed performance appraisals or a blank form,"The organization has
•	No process for regularly assessing staff performance
•	No probationary period or review process for new staff
•	Not updated or filed changes in staff work status, salary and benefits","The organization has
•	A process for assessing staff performance, but it does not include setting objectives, listing responsibilities/tasks, supervision or professional development
•	A three-month probationary period for new staff but no formal review
•	A process that is not participatory and follows an auditing rather than a supportive approach
•	Inconsistently filed or updated changes in staff work status, salary and benefits","The organization has
•	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional development
•	A performance review process for new staff that is not timely or consistently done
•	A participatory process regularly used for performance appraisals
•	Conducted appraisals for some, but not all, staff
•	Consistently filed and updated changes in staff work status, salary and benefits","The organization has
•	A process for assessing staff performance that includes setting objectives, listing responsibilities/ tasks, assessing performance on past activities, supervision and professional  development
•	Regularly conducted appraisals for all staff at least once a year
•	Regularly reviews new staff performance after the probationary period
•	Consistently filed, updated and made changes in staff work status, salary and benefits"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Volunteers and Interns,To review the organization’s systems for managing field and office volunteers and interns.,"volunteer/intern policy, samples of completed performance appraisals","The organization has
•	No policy for selecting or managing volunteers/interns
•	No training program for volunteers or interns
•	No job descriptions
•	No performance standards or feedback process
•	No supervisory guidance to support volunteers/interns","The organization has
•	A basic volunteer/intern policy that includes guidance on selection, supervision and support
•	Job descriptions
•	Orientation and/or training for volunteers that is not consistent
•	No performance standards or regular review of performance
•	Inconsistent or irregular supervision
•	High volunteer turnover that affects program implementation","The organization has
•	A comprehensive volunteer/intern policy that includes guidance on selection, supervision and support
•	Job descriptions
•	Volunteers/interns appropriately trained for their tasks
•	Performance standards but no performance review
•	Provided regular, consistent supervision and feedback
•	Moderate turnover","The organization has
•	A comprehensive volunteer/intern policy that includes guidance on selection, supervision and support
•	Volunteers/interns who are appropriately and consistently trained for their tasks
•	Performance standards and regular performance reviews
•	Provided regular, consistent supervision and feedback
•	Minimal turnover"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Systems,"To assess the existence and use of the financial system, especially its ability to respond to management needs and donor requirements.","financial manual, accounting journals, chart of accounts, payment vouchers, staff training plan/curricula, staff interviews","The organization has
•	No formal financial system
•	Transactions that are either not recorded or are recorded on an ad hoc basis
•	A filing system that maintains only invoices/receipts for all expenditures and incoming funds","The organization has
•	A basic financial system, but it is incomplete and/or not compliant with accounting standards
•	Systems that are not consistently adhered to
•	Not oriented or trained financial staff on systems","The organization has
•	A good financial system with most or all required components
•	A computerized accounting system that is not fully operational
•	Systems that are consistently adhered to
•	Oriented or trained financial staff on systems
•	No process for reviewing and updating the financial system
•	Not included a narrative description of its financial system in its financial manual","The organization has
•	A complete and appropriate financial system
•	A fully operational, computerized accounting system
•	Systems that are consistently adhered to, reviewed and updated
•	Systems known and understood by trained staff
•	A narrative description of its financial system in its financial manual"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Policies and Procedures,To assess the existence and use of financial policies and procedures and their ability to respond to management needs and donor requirements.,"financial manual, accounting journals, chart of accounts, staff interviews, payment vouchers, staff training plan/curricula","The organization has
•	No documented financial policies and procedures","The organization has
•	Some documented financial policies and procedures, but they are incomplete and/or do not comply with donor requirements
•	Policies and procedures that are inconsistently adhered to
•	Not oriented or trained staff in the policies and procedures","The organization has
•	Documented most or all financial policies and procedures and they are compliant
•	Policies and procedures that are consistently adhered to
•	Oriented or trained staff in the policies and procedures
•	No process for regularly reviewing and updating financial policies and procedures","The organization has
•	Complete and appropriate financial policies and procedures
•	Policies and procedures that are known and understood by staff
•	Policies and procedures that are consistently adhered to, reviewed and updated"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Internal Controls,"To assess if internal controls adequately safeguard the organization’s assets, manage internal risk and ensure the accuracy and reliability of accounting data.","financial manual, signatory policy/authority matrix, payment vouchers, staff interviews, audit reports on internal controls, insurance policies","The organization has
•	No documented internal controls
•	Improper segregation of duties and checks and balances (1–2 people are responsible for all steps in financing or procurement)","The organization has
•	Some documented internal controls, but they are incomplete and inappropriate
•	Procedures not well-known and understood by staff and not consistently adhered to
•	Inadequate segregation of duties","The organization has
•	Most or all documented appropriate internal controls
•	Procedures that are generally known by staff but not consistently adhered to
•	Adequate segregation of duties
•	No process for reviewing and updating internal controls or for assessing financial risk","The organization has
•	Complete and appropriately documented financial controls
•	Procedures known and understood by trained staff
•	Internal controls that are consistently adhered to, reviewed and updated
•	A process for assessing financial risk"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Documentation,To assess if record keeping is adequate and if financial files are audit ready.,"financial files, finance manual, staff interviews","The organization has
•	No written financial documentation procedures
•	No filing system, and financial files are not readily available
•	No one designated to manage the financial files","The organization has
•	Some written financial documentation procedures, but they are incomplete and/or inappropriate
•	Procedures that are not consistently adhered to and/or are not known to staff
•	A basic filing system, but financial files are not complete
•	No one designated to manage the financial files","The organization has
•	Financial documentation procedures that are mostly or completely documented in writing and appropriate
•	Procedures that are generally adhered to, known and understood by staff
•	Financial documentation files that are not regularly updated or secure
•	A staff member designated to manage the financial files","The organization has
•	Complete and appropriate financial documentation procedures
•	Procedures that are known and understood by staff
•	Procedures that are consistently adhered to, reviewed and updated
•	Up-to-date financial files in a secure location
•	A staff member designated to manage the financial files"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Budgeting,To assess the organization’s financial planning and if there is a system for monitoring budgets and determining additional funding requirements.,"organization’s budget, project budgets, budget worksheet, chart of accounts, budget tracking worksheet","The organization has
•	No formal master budget
•	No core-cost budget
•	Project budgets, but they are not clear and/or not aligned with project needs
•	Not included core costs in its project budgets","The organization has
•	A basic master budgeting process, but it is incomplete
•	A core-cost budget, but it is not aligned with the strategic plan and/or is not regularly reviewed to address shortfalls
•	Project budgets, but they are not always clear and not consistently aligned with project needs
•	An inconsistent methodology for including core costs in its project budgets","The organization has
•	A good master budgeting process that includes most or all required components
•	A core-cost budget that is generally aligned with the strategic plan, but is not regularly reviewed to address shortfalls
•	Project budgets that are clear, but not reviewed regularly nor consistently aligned with project needs
•	A consistent methodology for including core costs in project budgets, but the methodology is not documented and does not ensure full cost recovery","The organization has
•	A complete and appropriate master budget
•	A core-cost budget that is aligned with the strategic plan and regularly reviewed; any shortfalls are addressed
•	Clear project budgets that are reviewed regularly by senior management and adapted to align with project needs and donor requirements
•	A consistent methodology for including core costs in project budgets that is documented and ensures full cost recovery"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Reporting,To assess whether the organization’s routine financial reporting system allows it to meet statutory and donor requirements and stakeholders’ needs for information.,"annual financial statements, financial reports to donors, donor grant agreements, management reports, senior management meeting minutes, board meeting minutes","The organization has
•	No routine system for financial reporting
•	No recent financial statements
•	Not yet submitted a financial report to a donor and/or other stakeholders
•	No one designated to prepare or approve reports or financial statements","The organization has
•	A basic system for financial reporting, but reporting requirements and deadlines are not adhered to
•	Designated staff to prepare and approve reports and financial statements
•	Inconsistently delivered financial reports to stakeholders (donor, budget holders, senior management, board members)
•	Irregular reviews of financial reports by senior staff","The organization has
•	A good financial reporting system; reporting requirements and deadlines are generally adhered to
•	Regularly delivered financial reports to stakeholders (donors, budget holders, senior management, board members), but they are not always accurate and/or complete
•	Sporadic reviews of financial reports by senior staff
•	Some documented financial reporting procedures","The organization has
•	A complete and appropriate financial reporting system; reporting requirements and deadlines are consistently adhered to
•	Regularly delivered accurate and complete financial reports to stakeholders (donors, budget holders, senior management, board members)
•	A system for senior staff to review financial reports at least every three months and to use the reports to make decisions
•	Complete and appropriately documented financial reporting procedures regularly reviewed and updated"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,"financial audit reports, post-audit management plans, financial manual staff interviews","The organization has
•	No internal or external auditing system
•	Not complied with statutory and/or donor auditing requirements","The organization has
•	A basic audit/review system, but auditing requirements and deadlines are not adhered to
•	Completed a recent statutory and/or donor audit, but the scope of the audit does not meet requirements
•	Not implemented previous audit report recommendations
•	Not shared audit reports with board members and other stakeholders","The organization has
•	A good system for managing audits; audit findings and recommendations are generally addressed
•	Consistently complied with its statutory and donor audit requirements in a timely manner
•	No internal audit function that regularly assesses risk or reviews and updates financial management systems to reflect the changing environment
•	Not shared audit reports with board members and other stakeholders","The organization has
•	A complete and appropriate system for managing audits; audit findings and recommendations are systematically addressed
•	A written narrative of its audit systems in the finance manual
•	Consistently complied with its statutory and donor audit requirements in a timely manner
•	An internal audit function that assesses risk and updates financial management systems as needed
•	Consistently shared audit reports with board members and other stakeholders"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Cost Share,"To assess whether the organization has systems to track, report, and document cost share in compliance with donor regulations.","approved grant agreements/budgets, cost-sharing plan and procedures, cost-share vouchers","The organization has
•	No documented cost-sharing procedures
•	No cost-share plan","The organization has
•	Documented some cost-share procedures
•	Procedures that are incomplete and/or inappropriate
•	An inconsistent accounting system for entering and reporting on cost share
•	No cost-share plan","The organization has
•	Documented most or all cost-share procedures, and they are appropriate
•	Procedures that are not known to staff
•	Procedures that are inconsistently adhered to
•	An inconsistent accounting system for entering and reporting on cost share
•	A cost-share plan","The organization has
•	Complete and appropriately documented cost-share procedures
•	Procedures known and understood by staff
•	Procedures consistently adhered to, reviewed and updated
•	A consistent accounting system for entering and reporting on cost share
•	A cost-share plan"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Sustainability,"To assess the organization’s finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.","organization’s budget, annual financial statements, strategic plan, finance strategy (business plan)","The organization has
•	Full dependence on one external donor
•	No unrestricted funds
•	Not enough liquidity to pay all outstanding financial obligations
•	No documented finance strategy","The organization has
•	Almost full dependence on external donor funds (more than one donor)
•	Limited unrestricted funds
•	Not enough liquidity to pay all outstanding financial obligations
•	A finance strategy that is not fully documented","The organization has
•	A somewhat diversified funding base, but is too reliant on restricted income
•	Limited reserves to operate without donor grants
•	Enough liquidity to pay all outstanding financial obligations
•	A documented finance strategy that is not fully in line with the strategic plan and is not reviewed regularly","The organization has
•	A diversified funding base with strong stakeholder relationships
•	Income-generating activities and/or unrestricted sources of income
•	Enough liquidity to pay all outstanding financial obligations
•	Enough reserves to run for a few months without any donor funding
•	A written policy for building/maintaining reserves
•	A documented finance strategy in line with the strategic plan and reviewed regularly"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Strategic Planning,To assess the organization’s ability to realize its mission and goals by reviewing its strategic plan.,strategic plan,"The organization has
•	No strategic plan","The organization has
•	A basic strategic plan that does not reflect its vision, mission and values
•	A plan that is not based on an analysis of strengths and weaknesses, the external environment and clients’ needs
•	A plan that does not include priorities, measurable objectives or clear strategies
•	Not used the plan for management decisions or operational planning
•	No process for regularly reviewing the plan
•	Not defined its resource needs","The organization has
•	A comprehensive, written strategic plan that reflects its mission, vision and values
•	Based the plan on a review of strengths and weaknesses, the external environment and clients’ needs
•	Included priorities, measurable objectives and clear strategies
•	Not used the plan for management decisions or operational planning
•	No process for regular reviews
•	Not defined resource needs or does not have a corresponding budget","The organization has
•	A comprehensive, written strategic plan that reflects its mission, vision and values
•	Based the plan on a review of strengths and weaknesses, the external environment and clients’ needs
•	Included priorities and measurable objectives
•	Referred to the plan for management decisions and operational planning
•	Regularly reviewed the plan
•	Clear resource needs and a corresponding budget"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Resource Mobilization,To assess the organization’s ability to identify and capitalize on new business opportunities through grants and partnerships.,"business development plan, resource development plan, funding strategy","The organization has
•	No business plan or funding strategy
•	Not estimated its future resource needs
•	Taken no steps to identify additional local, national or international resources or opportunities to support its programs and activities, either directly or through partnerships
•	Not created a communication strategy for resource mobilization","The organization has
•	A business plan and has taken preliminary steps to estimate future resource needs based on an analysis of its programs and/or its strategic plan
•	Identified additional resource providers or opportunities and their interests and potential for support
•	Not created a communication strategy to attract resources","The organization has
•	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
•	Identified resource providers
•	Created a communication strategy for resource mobilization
•	Received support from at least one source or has a clear plan for fundraising or proposal writing
•	Insufficient funds to support its activities","The organization has
•	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
•	Identified resource providers
•	Created a communication strategy for resource mobilization
•	Successfully bid for resources from one or more sources
•	Sufficient funds to support its activities"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",operational plan,"The organization has
•	No operational plan","The organization has
•	An annual operational plan
•	Included goals, measurable objectives and strategies, but no timelines, responsibilities or indicators
•	Not linked the operational plan to project or program workplans and budgets
•	Not developed the operational plan with staff participation
•	Not set dates for quarterly reviews
•	Not submitted the plan on time to HQ or donors (if required)","The organization has
•	An annual operational plan
•	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
•	Linked the plan to project/program workplans and budgets
•	Not developed the operational plan with staff participation
•	No dates for quarterly reviews
•	Not submitted the plan on time to HQ or donors (if required)","The organization has
•	An annual operational plan
•	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
•	Linked the plan to program/project workplans and budget
•	Developed the plan with staff participation
•	Set dates for quarterly reviews
•	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization’s communication strategy.","communication strategy, sample USAID-funded and non-USAID-funded publications","The organization has
•	No strategy for identifying audiences, channels, materials, and dissemination for promotion of technical/best practice innovation and overall achievements
•	No one assigned responsibility for developing/overseeing communication strategy and products (written, oral and/or online)
•	No process/tools for testing the materials/messages
•	No branding/marking policies or procedures for documents or equipment","The organization has
•	An incomplete strategy, lacking objectives, responsibility, timelines and dissemination mechanisms
•	Assigned responsibility for communication strategy development
•	No process/tools for testing materials/messages
•	Developed branding/marking policies for projects as required by USAID but does not have an organizational branding/marking policy","The organization has
•	A complete communication strategy,
•	Tasked staff member(s) with communication strategy management including documentation oversight
•	A process for testing materials/messages and revising based on test results
•	Developed its own branding policy (including appropriate USAID branding/marking requirements) and oriented staff, but it is inconsistently adhered to
•	Created templates for documents and a style guide","The organization has
•	A comprehensive communication strategy
•	Tasked staff member(s) with communication strategy management, including documentation development and oversight
•	A process for testing and revising materials/messages based on test results
•	Developed its own branding policy (including appropriate USAID branding/marking requirements), oriented staff, and instituted a system to monitor compliance
•	Created templates and a style guide and trained staff on their use"
